Id,Last Name,First Name,Gender,Mail,Address,Birth Date,Nationality,Contract Start Date,Contract End Date,Employee Number,Job Title,CSP Id,Department Id,Manager Id,Legal Entity Id
88,Bianco,Juan,Male,test@example.es,5 Las Ramblas,,,2023-09-20T00:00:00,,ES154,,Cuadros superiores,27,54,3
89,Bateau,Julie,Undefined,jbateau@example.org,,,,2023-10-02T00:00:00,2050-03-31T00:00:00,M0053,,Cadre,11,35,1
89,Bateau,Julie,Undefined,jbateau@example.org,,,,2023-10-02T00:00:00,2050-03-31T00:00:00,M0053,,Cadre,11,35,1
90,Girard,Hélène,Undefined,hgirard@example.org,,,,2022-01-17T00:00:00,,S1234,,Cadre,8,15,1
91,Fromiau,Nicolas,Undefined,nfromiau@example.org,,,,2022-04-01T00:00:00,,333333,,,17,76,1
92,Evans,Lilly,Undefined,levans@lucca.fr,18 rue Copernic,1987-04-05T00:00:00,,2022-07-01T00:00:00,,122,,,18,11,2
93,García,Maria,Undefined,mgarcia@lucca.fr,,,,2022-11-01T00:00:00,,111,,,19,50,3
94,Aiglemont,Jean,Undefined,jaiglemont@example.org,,1975-10-08T00:00:00,,2006-03-09T00:00:00,,CH2,,,30,100,6
95,Arthez,Denis,Undefined,darthez@example.org,,1977-07-25T00:00:00,,2011-01-01T00:00:00,,CH10,,,33,100,6
96,Augsberger,Natalie,Undefined,naugsberger@example.org,,1975-05-21T00:00:00,,2005-02-07T00:00:00,,CH24,,,30,109,8
97,Baasch,Milo,Undefined,mbaasch@example.org,,1978-10-31T00:00:00,,2007-03-26T00:00:00,,CH15,,,31,96,8
98,Barbet,Antoine,Undefined,abarbet@example.org,,1977-07-19T00:00:00,,2001-09-20T00:00:00,,CH4,,,31,100,6
99,Barjeton,Hélène,Undefined,hbarjeton@example.org,,1984-01-13T00:00:00,,2022-01-17T00:00:00,,CH5,,,31,100,6
100,Camusot,Nathalie,Undefined,ncamusot@example.org,,1977-07-30T00:00:00,,2001-09-23T00:00:00,,CH7,,,31,109,6
101,Firmiani,Mateo,Undefined,mcortes@example.org,,1973-12-08T00:00:00,,2016-11-02T00:00:00,,CH21,,,34,96,8
102,Cruchot,Antonin,Undefined,acruchot@example.org,,1977-08-02T00:00:00,,2004-10-04T00:00:00,,CH12,,,34,100,6
103,Desmarets,Nicolas,Undefined,ndesmarets@example.org,,1966-05-27T00:00:00,,2000-11-06T00:00:00,,CH11,,,33,100,6
104,Graf,Isabel,Undefined,igraf@example.org,,1985-10-29T00:00:00,,2009-01-10T00:00:00,,CH23,,,34,96,8
105,Hartl,Ava,Undefined,ahartl@example.org,,1983-03-18T00:00:00,,2015-02-23T00:00:00,,CH16,,,30,96,8
106,Hössler,Tim,Undefined,thossler@example.org,,1974-08-22T00:00:00,,2014-04-10T00:00:00,,CH20,,,33,96,8
107,Krist,Andrej,Undefined,akrist@example.org,,1986-06-19T00:00:00,,2004-08-25T00:00:00,,CH22,,,34,96,8
108,Leistner,Gabriel,Undefined,gleistner@example.org,,1985-02-12T00:00:00,,2012-06-04T00:00:00,,CH17,,,31,96,8
109,Merat,Nicolas,Male,nmerat@example.org,Chemin du Pavillon 2,1982-04-11T00:00:00,Switzerland,2011-07-01T00:00:00,,CH1,General Manager,,30,100,6
110,Pilc,Thomas,Undefined,tpilc@example.org,,1972-06-15T00:00:00,,2013-01-21T00:00:00,,CH19,,,33,96,8
111,Poiret,Julie,Undefined,jpoiret@example.org,,1990-05-28T00:00:00,,2022-03-01T00:00:00,,CH8,,,33,100,6
112,Popinot,Maurice,Undefined,mpopinot@example.org,,1963-03-04T00:00:00,Switzerland,2001-10-04T00:00:00,,CH6,Ingénieur R&D,,31,100,6
113,Restaud,Michel,Undefined,mrestaud@example.org,,1977-07-21T00:00:00,,2013-03-02T00:00:00,,CH9,,,33,100,6
114,Schmucke,Sara,Undefined,sschmucke@example.org,,1976-03-20T00:00:00,,2005-05-05T00:00:00,,CH14,,,31,96,8
115,Schurz,Philipp,Undefined,pschurz@example.org,,1984-05-15T00:00:00,,2004-06-19T00:00:00,,CH18,,,33,96,8
116,Tullia,Daniel,Undefined,dtullia@example.org,,1970-06-06T00:00:00,,1999-03-02T00:00:00,,CH3,,,30,100,6
117,Zambinella,Florence,Undefined,fzambinella@example.org,,1976-07-11T00:00:00,,2007-06-25T00:00:00,,CH13,,,34,100,6
118,Debriche,Edouard,Undefined,edebriche@example.org,,,,2023-06-01T00:00:00,,X134E,Technicien,Ouvrier,6,15,1
119,Debrillo,Eduardo,Undefined,ebadgeuse@example.org,,,,2023-06-01T00:00:00,,,Operario,Cuadros medios,27,49,3
